Hugo_Symbol,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,3'UTR,5'Flank,5'UTR,COULD_NOT_DETERMINE,DE_NOVO_START_IN_FRAME,DE_NOVO_START_OUT_FRAME,Frame_Shift_Del,Frame_Shift_Ins,IGR,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,START_CODON_INS,START_CODON_SNP,Silent,Splice_Site,Translation_Start_Site,DEL,DNP,INS,ONP,SNP,TNP,pnum,cadd_mean,cadd_var,proteome_mean,proteome_var,amp_mean,amp_var,amp_freq,del_mean,del_var,del_freq,abs_mean,abs_var,abs_freq,exp_mean,exp_var,methy_mean,methy_var,Phosphoproteome_mean,Phosphoproteome_var,gene_desc,class
PARP1,3045,0.1666666666666666,0.0555555555555555,0.0,0.7777777777777778,0.0,1.0,0.0,0.0,1.0,0.0,3.5,3.75,0.8257638315441783,1.0,0.0647291086801734,0.2419279096595192,805195.2,409.0,0.0093386359999999,0.002283730945466,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,17.0,22.19688889,110.3684541,27.928362961625503,0.6050640521816668,0.2870185054347826,0.026405097886316,368.0,-0.2381015217391304,0.021468008119855,46.0,0.2815832850241545,0.0260401286637587,414.0,3.7327049880752106,0.0042804734183739,0.0328020563699224,0.0075852403991502,23.39539970195024,0.4648410121293552,"Yes, there is a relationship between the PARP1 gene and cancer. PARP1 (Poly(ADP-ribose) polymerase 1) plays a crucial role in DNA repair mechanisms, particularly in the recognition and repair of single-strand DNA breaks via the base excision repair pathway. When PARP1 is hyperactivated due to the presence of DNA damage, it can lead to cellular stress and altered genomic stability. In cancer cells, particularly those with defects in homologous recombination repair (e.g., BRCA1/2 mutations), the reliance on PARP1 for DNA repair processes can create a vulnerability that leads to synthetic lethality, wherein inhibition of PARP1 results in increased tumor cell death. Moreover, aberrant expression or mutations in the PARP1 gene itself can also contribute to tumorigenesis by promoting survival and proliferation of cancer cells through enhanced DNA repair capabilities, thereby facilitating genomic instability and tumor progression.",1
TACSTD2,972,0.1666666666666666,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.1666666666666666,1.0,0.0,2.0,2.5,1.0,1.0,0.5973715651135006,0.9051469367188074,301268.9,564.0,-0.004524627,4.4993499195976426e-08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,6.0,16.9138,63.9050132,25.353013099159146,2.6343514759145816,0.2195980991735536,0.0173531293838567,121.0,-0.227431052631579,0.0137849526941241,190.0,0.2243835048231511,0.0151363455879991,311.0,3.47208242987578,0.2722058916761273,0.3830335200374883,0.0338635114227879,19.30763268934855,2.842021977179783,"Yes, there is a relationship between the TACSTD2 gene and cancer. TACSTD2, also known as tumor-associated calcium signal transducer 2, has been implicated in various malignancies through its role in cellular processes such as cell adhesion, signaling, and differentiation. Overexpression of TACSTD2 has been observed in certain cancers, suggesting a potential contribution to tumor progression and metastasis. The gene may influence tumor microenvironment interactions and promote survival signaling pathways, thereby supporting cancer cell proliferation and resistance to apoptosis. Additionally, TACSTD2's involvement in epithelial-mesenchymal transition (EMT) could facilitate the invasive characteristics of cancer cells, allowing for enhanced metastatic capabilities.",1
TNFRSF8,1788,0.3636363636363636,0.0,0.0,0.6363636363636364,0.0,1.0,0.0,0.0,1.0000000000000002,0.0,1.4,1.4,1.0,1.0,0.2865329512893982,0.6446709845886349,517022.3,191.0,0.03518933,0.0001111894655261,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,10.02336364,109.2132993,14.972722574603106,1.054146492404464,0.2307295833333332,0.0173328036650877,96.0,-0.2583604330708662,0.0175291292705627,254.0,0.2507816857142858,0.0175778667332533,350.0,2.555112760591753,0.1173550423358906,0.2163788600820115,0.0315163536634424,15.903564364047751,1.3482483559529608,"Yes, there is a relationship between the TNFRSF8 gene, which encodes the protein CD30, and cancer. CD30 is a member of the tumor necrosis factor receptor superfamily and is involved in several key immune processes, such as lymphocyte activation and differentiation. Abnormal expression of CD30 has been associated with various hematological malignancies, particularly Hodgkin lymphoma and anaplastic large cell lymphoma. The interaction of CD30 with its ligand, CD153, can promote cell survival, proliferation, and further immune evasion, potentially facilitating tumor growth. Additionally, the signaling pathways activated by CD30 can influence the tumor microenvironment, affecting immune cell infiltration and contributing to tumorigenesis. Thus, altered CD30 signaling may play a significant role in the pathogenesis of certain cancers.",1
AXL,2685,0.1538461538461538,0.1153846153846153,0.0,0.6538461538461539,0.0,1.0,0.0384615384615384,0.0384615384615384,0.9345396758297344,0.0,3.4,4.4,0.2456398919184476,1.0,0.2320724065908563,0.5710619305253427,1180169.0,214.0,0.01469951,5.215080999939152e-05,17.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,2.0,0.0,28.0,0.0,27.0,22.40267857,125.8315463,20.33993727516188,1.6648322482999227,0.2709261000000002,0.0259911787083316,200.0,-0.2456709803921569,0.0169046819246903,152.0,0.2599798300283287,0.0221506991107664,352.0,3.52039138390798,0.0235935028483495,0.1236395655866867,0.0094793608061652,19.121462912543755,2.0590142600941577,"Yes, there is a recognized relationship between the AXL gene and cancer. AXL encodes a receptor tyrosine kinase that is involved in several cellular processes, including proliferation, migration, and survival. In many cancers, AXL is found to be overexpressed or constitutively activated, leading to enhanced tumor growth and metastasis. Mechanistically, AXL activation can promote epithelial-to-mesenchymal transition (EMT), a process that facilitates invasion and dissemination of cancer cells. Additionally, AXL interacts with various signaling pathways, including those mediated by phosphatidylinositol 3-kinase (PI3K) and mitogen-activated protein kinase (MAPK), further supporting oncogenic processes. Overall, AXL's role in modulating immune responses and promoting resistance to therapies has also made it a significant focus in cancer research.",1
CD33,1095,0.4347826086956521,0.0,0.0434782608695652,0.5217391304347826,0.0,1.0,0.0,0.0,0.9999999999999998,0.0,1.0909090909090908,1.181818181818182,0.8818342151675485,1.0,0.9337068160597572,0.9977523729837644,352763.4,629.0,0.0006801719,1.3832637731750557e-05,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,21.0,6.491708333,48.38449909,20.26013516700216,1.5498204815682175,0.2731564480874318,0.038920402676875,183.0,-0.2596664912280703,0.0222257020076161,171.0,0.2666401129943502,0.0308157769348313,354.0,2.962736640035086,0.0365370137332385,0.111514500398345,0.0145173604745375,21.31550994447253,3.1288091172577164,"Yes, there is a relationship between the CD33 gene and cancer, particularly in the context of acute myeloid leukemia (AML). CD33 is a cell surface receptor that plays a role in myeloid cell differentiation and function. Its expression can influence tumor immune evasion and the tumor microenvironment. Increased CD33 expression on leukemic blasts is associated with poor prognosis, as it can modulate immune responses by dampening the activation of immune cells such as T cells and natural killer cells. Additionally, CD33 is involved in signaling pathways that promote cell survival and proliferation, potentially contributing to leukemogenesis. The understanding of its role in cancer emphasizes the complex interplay between immune modulation and cancer biology.",1
CEBPA,1077,0.2727272727272727,0.0,0.0,0.7272727272727273,0.0,1.0,0.0,0.0,1.0000000000000002,0.0,2.0,2.0,1.0,1.0,0.0347584289190128,0.1515235723866338,355217.2,510.0,-0.0094706269999999,0.0006817883818713,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,21.637,91.526397,20.75244608183587,2.5278479143354065,0.3277723555555557,0.073786742644873,225.0,-0.3009048701298701,0.0560559874238392,154.0,0.3168552242744062,0.0665893981430051,379.0,3.30940156998415,0.0385424993912879,0.111514500398345,0.0145173604745375,15.86455993744548,4.465912619195087,"Yes, there is a relationship between the CEBPA gene and cancer, particularly acute myeloid leukemia (AML). CEBPA encodes a transcription factor that plays a critical role in regulating myeloid differentiation and proliferation. Mutations in CEBPA can lead to the loss of function or the production of truncated proteins, which disrupt normal hematopoiesis and enable the proliferation of immature myeloid cells. These alterations can contribute to the leukemogenic process by impairing differentiation and promoting the survival of malignant cells. Additionally, aberrant expression of CEBPA may influence the expression of other genes involved in cell cycle regulation and apoptosis, further facilitating tumorigenesis. The dysregulation of CEBPA is therefore implicated in the pathogenesis of certain leukemias, reflecting its potential as a critical regulator of cell fate in hematopoietic cells.",1
KEAP1,1875,0.1176470588235294,0.0392156862745098,0.0,0.7647058823529411,0.0,1.0,0.0588235294117647,0.0196078431372549,0.9391288474840984,0.0,5.571428571428571,6.428571428571429,0.5288207297726071,1.0,0.0063799999999999,0.0386282662187702,1996822.0,207.0,0.0303180999999999,0.0006135660927849,90.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,38.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,47.0,0.0,43.0,24.38012766,61.21831951,23.323038065315693,0.4868830897310828,0.334574588235294,0.0811068480084093,170.0,-0.2207648543689319,0.0131400284182713,206.0,0.2722213829787232,0.0469524038066156,376.0,3.5523121435913114,0.0041279063980856,0.0489862349614228,0.012442072681936,15.71650152776039,1.5636369047412582,"Yes, there is a relationship between the KEAP1 gene and cancer. KEAP1 (Kelch-like ECH-associated protein 1) serves as a critical regulator of the Nrf2 (nuclear factor erythroid 2-related factor 2) pathway, which plays a vital role in cellular antioxidant defense and oxidative stress response. In many cancers, mutations or loss of function in the KEAP1 gene can lead to the stabilization and constitutive activation of Nrf2. This aberrant activation promotes tumorigenesis by enhancing cell survival, proliferation, and resistance to chemotherapeutic agents, while simultaneously reducing apoptosis. Furthermore, altered KEAP1-Nrf2 interactions may contribute to metabolic reprogramming and the inflammatory microenvironment characteristic of various malignancies, underscoring its potential role in cancer progression and development.",1
CCND1,888,0.0,0.2307692307692307,0.0,0.6923076923076923,0.0,1.0,0.0,0.0769230769230769,0.8180073353228107,0.0,9.0,13.0,0.0783208020050125,1.0,0.4426737494466578,0.8034184318219858,441430.8,536.0,0.04094218,0.0003046664827035,78.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,21.0,22.03627778,152.695051,20.79079934992069,2.1841942325172723,0.5608373662551445,0.4941682507145225,243.0,-0.2180182051282052,0.0167280911395937,78.0,0.4775355140186921,0.399425766152938,321.0,3.728439785845513,0.0228967187943182,0.1156929804221034,0.0142302050740811,18.69219580585901,1.3808359130453665,"Yes, there is a relationship between the CCND1 gene and cancer, particularly in various types of tumors, including breast and colorectal cancers. CCND1 encodes cyclin D1, a protein that plays a crucial role in regulating the cell cycle by promoting the transition from the G1 phase to the S phase. Overexpression or amplification of the CCND1 gene can lead to dysregulation of this cell cycle checkpoint, contributing to uncontrolled cell proliferation. This aberration can also result in genomic instability and increased tumorigenesis, as cyclin D1 interacts with cyclin-dependent kinases (CDKs) to modulate cell cycle progression and can influence pathways related to apoptosis and cellular differentiation. Additionally, cyclin D1 has been implicated in various signaling pathways, including those involving growth factors, further enhancing its role in cancer development and progression.",1
CD5,1488,0.375,0.0,0.0,0.625,0.0,1.0,0.0,0.0,1.0,0.0,1.25,1.25,1.0,1.0,0.8136696501220505,0.9814490077981268,805103.2,546.0,0.03716901,2.2469296669582327e-05,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,4.103875,47.42970041,21.26202676339088,1.1912013512626536,0.2194170212765956,0.0178846651182066,141.0,-0.2592100000000001,0.0235744539677419,125.0,0.2381167293233082,0.0208754940281302,265.0,2.954021546921875,0.0682144614216688,0.111514500398345,0.0145173604745375,21.45810308758888,1.5965327894962964,"Yes, there is a relationship between the CD5 gene and cancer. CD5 encodes a cell surface protein primarily expressed on T lymphocytes and some B cells, playing a critical role in regulating immune responses. Aberrant expression or function of CD5 has been implicated in various malignancies, including leukemias and lymphomas. In the context of cancer, altered CD5 signaling can influence T cell activation, leading to immune evasion by tumor cells, promoting tumor growth and metastasis. Additionally, CD5 can modulate the apoptotic pathways, affecting cell survival and proliferation. The dysregulation of CD5 may contribute to the sustained survival of cancerous cells, highlighting its potential role in tumorigenesis and the immune landscape of cancers.",1
FOLH1,2253,0.0,0.0571428571428571,0.0,0.8857142857142857,0.0,1.0,0.0571428571428571,0.0,0.9554379378528488,0.0,31.0,35.0,0.8802816901408451,1.0,0.0013,0.009939008318869,11046.46,1009.0,-0.01860155,5.092889825474118e-06,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,34.0,0.0,33.0,22.75817647,57.15866385,21.553835053231392,3.450090400195274,0.2113791428571428,0.0204443290035765,140.0,-0.2560938405797102,0.0235324194282079,136.0,0.2335756474820143,0.0223994750629366,274.0,3.14280319137872,0.0673354624987459,0.2074494351957714,0.0382963383217139,20.060674391099585,2.322449260305919,"Yes, there is a relationship between the FOLH1 gene and cancer. FOLH1 encodes the enzyme prostate-specific membrane antigen (PSMA), which is significantly overexpressed in various cancers, particularly prostate cancer. The increased expression of FOLH1 can promote tumor growth and metastasis by facilitating the uptake of folate, which is crucial for DNA synthesis and repair, thus supporting rapid cell proliferation. Moreover, PSMA has been implicated in the regulation of immune responses within the tumor microenvironment, potentially allowing cancer cells to evade immune detection. Additional mechanisms include its enzymatic activity, which may contribute to the alteration of local tissue microenvironments favoring tumor progression.",1
