Hugo_Symbol,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,3'UTR,5'Flank,5'UTR,COULD_NOT_DETERMINE,DE_NOVO_START_IN_FRAME,DE_NOVO_START_OUT_FRAME,Frame_Shift_Del,Frame_Shift_Ins,IGR,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,START_CODON_INS,START_CODON_SNP,Silent,Splice_Site,Translation_Start_Site,DEL,DNP,INS,ONP,SNP,TNP,pnum,cadd_mean,cadd_var,proteome_mean,proteome_var,amp_mean,amp_var,amp_freq,del_mean,del_var,del_freq,abs_mean,abs_var,abs_freq,exp_mean,exp_var,methy_mean,methy_var,Phosphoproteome_mean,Phosphoproteome_var,label
MAPT,2331,0.35483871,0.032258065,0.0,0.580645161,0.0,1.0,0.032258065,0.0,0.986977478,0.0,1.5,1.666666667,0.798722045,1.0,0.344589938,0.711716111,369065.2,469.0,0.01928261,0.000871036,89,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,28.0,16.53348387,149.1121505,23.17862067,9.879679043,0.232575484,0.01313211,186.0,-0.260958785,0.019034303,181.0,0.246573787,0.016200863,367.0,2.893855486,0.295796226,0.1115145,0.01451736,22.11735938,10.88487748,0
POLR1B,3408,0.083333333,0.0,0.0,0.833333333,0.0,1.0,0.083333333,0.0,1.0,0.0,5.0,5.5,1.0,1.0,0.693481276,0.947316948,563285.8,166.0,0.03423545,5.82e-05,51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,11.0,19.29590909,88.42078409,23.26559844,0.545704941,0.225499945,0.027647683,182.0,-0.254108621,0.030169852,58.0,0.232413708,0.028284145,240.0,3.525380672,0.002913322,0.054309875,0.015156053,20.06067439,2.32244926,0
TGOLN2,1443,0.333333333,0.0,0.0,0.5,0.0,1.0,0.0,0.166666667,1.0,0.0,1.0,1.333333333,1.0,1.0,0.331235508,0.697226118,975949.2,211.0,0.01828465,0.00013148,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,6.0,6.1,35.7553485,25.19911598,0.617535379,0.239426339,0.022601008,224.0,-0.191187317,0.011292357,41.0,0.231962943,0.021107443,265.0,3.777031766,0.002760675,0.065502586,0.004282326,25.79332691,1.245805982,0
LANCL1,1200,0.181818182,0.0,0.181818182,0.636363636,0.0,1.0,0.0,0.0,0.947442759,0.0,2.333333333,3.0,0.222717149,1.0,0.265181649,0.617167918,159583.6,453.0,0.003072574,0.000133089,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,9.0,21.73491667,141.8137064,26.56521623,0.419323014,0.226037582,0.017996806,153.0,-0.261525714,0.020919853,126.0,0.24206448,0.019559414,279.0,3.583757363,0.004486866,0.059470359,0.01060814,17.31391325,5.682467759,0
TAAR5,1014,0.071428571,0.071428571,0.0,0.857142857,0.0,1.0,0.0,0.0,1.0,0.0,6.0,6.5,0.33557047,1.0,0.496031746,0.843807217,125851.9,605.0,0.01921213,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,19.734,77.50707323,21.8870142,1.820461457,0.242983462,0.023685699,104.0,-0.271713284,0.022503268,268.0,0.26368129,0.022937581,372.0,0.042418711,0.049279861,0.1115145,0.01451736,20.06067439,2.32244926,0
CMC4,207,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,1.0,0.178443969,0.485988692,985719.2,444.4009898,0.006299631,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,19.43,97.1618,23.89191151,1.286804774,0.275189592,0.026860798,147.0,-0.27255963,0.024947597,108.0,0.274075725,0.025950787,255.0,3.174064062,0.012137794,0.24225789,0.070015901,20.06067439,2.32244926,0
DCP1A,1749,0.375,0.0,0.0,0.625,0.0,1.0,0.0,0.0,1.0,0.0,1.25,1.25,1.0,1.0,0.484966052,0.835924532,782207.8,167.0,0.04345949,0.000126683,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,18.505125,58.70451298,21.8870142,1.820461457,0.231019907,0.026499847,108.0,-0.281148294,0.022842711,428.0,0.271047799,0.023936499,536.0,2.84228509,0.209771735,0.1115145,0.01451736,20.06067439,2.32244926,0
TCHH,5832,0.278688525,0.032786885,0.0,0.639344262,0.0,1.0,0.016393443,0.032786885,0.981328483,0.0,2.166666667,2.444444444,0.862068966,1.0,0.279407656,0.635675728,527465.2,349.0,0.03483439,2.67e-06,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,3.0,1.0,0.0,0.0,58.0,0.0,47.0,13.25575862,62.79810948,21.54687406,2.837193113,0.309355584,0.041830412,385.0,-0.183877143,0.006431702,42.0,0.297013443,0.039724923,427.0,2.352984645,0.255844296,0.1115145,0.01451736,21.49818717,5.350913911,0
FCGBP,16218,0.359223301,0.019417476,0.019417476,0.582524272,0.0,1.0,0.019417476,0.0,0.977479948,0.0,1.578947368,1.736842105,0.74019245,1.0,0.968992248,0.999514212,1312608.0,522.0,0.02898752,1.03e-07,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,59.0,2.0,0.0,0.0,0.0,0.0,37.0,2.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,72.0,12.26276,77.79685536,25.51063868,3.374344282,0.344263625,0.102950149,239.0,-0.259939394,0.021143115,131.0,0.314342124,0.075418813,367.0,3.50769123,0.087361094,0.1115145,0.01451736,16.2214971,2.944193134,0
TAL2,327,0.166666667,0.0,0.0,0.833333333,0.0,1.0,0.0,0.0,0.871049064,0.0,2.5,2.5,1.0,1.0,0.042022104,0.175213662,215119.3,773.0,-0.001830899,5.27e-07,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,27.02666667,81.60606667,21.8870142,1.820461457,0.235054453,0.016727463,137.0,-0.238559803,0.015543446,254.0,0.237331586,0.015919283,391.0,1.262455065,0.716818381,0.1115145,0.01451736,20.06067439,2.32244926,0
