Hugo_Symbol,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,3'UTR,5'Flank,5'UTR,COULD_NOT_DETERMINE,DE_NOVO_START_IN_FRAME,DE_NOVO_START_OUT_FRAME,Frame_Shift_Del,Frame_Shift_Ins,IGR,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,START_CODON_INS,START_CODON_SNP,Silent,Splice_Site,Translation_Start_Site,DEL,DNP,INS,ONP,SNP,TNP,pnum,cadd_mean,cadd_var,proteome_mean,proteome_var,amp_mean,amp_var,amp_freq,del_mean,del_var,del_freq,abs_mean,abs_var,abs_freq,exp_mean,exp_var,methy_mean,methy_var,Phosphoproteome_mean,Phosphoproteome_var,gene_desc,class
CSF3R,2592,0.2272727272727272,0.0,0.0,0.6363636363636364,0.0,1.0,0.1363636363636363,0.0,0.951533901945023,0.0,2.333333333333333,2.833333333333333,1.0,1.0,0.1791151710549883,0.4871442354161247,581031.8,347.0,0.03074992,7.58207342257004e-06,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,19.0,0.0,19.0,12.36031579,88.42512589,21.88701420269522,1.8204614569819408,0.2647544444444442,0.0350891524856889,126.0,-0.2385138857142858,0.015885252229642,175.0,0.2494983056478403,0.0240020649301196,301.0,3.2971209124332286,0.0334449273500813,0.111514500398345,0.0145173604745375,16.140126432682987,0.9602245326375978,"Yes, the CSF3R gene, which encodes the granulocyte colony-stimulating factor receptor, has been implicated in various cancers, particularly in myeloid malignancies such as chronic neutrophilic leukemia and other hematological disorders. Alterations in CSF3R, including mutations and dysregulated expression, can lead to aberrant signaling pathways that promote cell proliferation, survival, and differentiation. These alterations may facilitate an environment conducive to tumor progression by enhancing the survival of myeloid lineage cells, influencing the immune microenvironment, and modulating inflammatory responses. Additionally, abnormal CSF3R signaling can lead to increased production of granulocytes, which may further contribute to tumorigenesis through mechanisms such as immune evasion and promotion of angiogenesis.",1
CALR,1254,0.1666666666666666,0.0833333333333333,0.0,0.5833333333333334,0.0,1.0,0.1666666666666666,0.0,0.8894714728255649,0.0,2.333333333333333,3.333333333333333,0.3593244699964068,1.0,0.230361667818475,0.5685567234087671,1886809.0,335.0,0.03995114,0.0007267511486051,110.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,12.0,23.1324,127.7619643,30.66120599574636,0.3897893516348912,0.3330567027027027,0.0623990649298295,185.0,-0.2169554081632652,0.0116493280003453,196.0,0.2733300524934381,0.0395681580726288,381.0,3.939536814589189,0.0021240825490186,0.0925606289650008,0.0129453073703023,20.47013040630189,3.851482889416865,"Yes, there is a relationship between the CALR gene and cancer. CALR (calreticulin) is involved in calcium homeostasis and protein folding, and mutations in this gene, particularly in the context of myeloproliferative neoplasms, have been associated with disease pathogenesis. These mutations can lead to the expression of an aberrant protein that misguides the immune response and facilitates clonal expansion of hematopoietic cells. Moreover, calcitriol, the active form of vitamin D, has been shown to interact with CALR, influencing its role in apoptosis and cellular stress responses. Such alterations can disrupt normal signaling pathways, contribute to the tumor microenvironment, and promote oncogenic processes, highlighting CALR’s potential role in the development and progression of certain cancers.",1
CIC,4827,0.4166666666666667,0.0833333333333333,0.0,0.3333333333333333,0.0,1.0,0.1666666666666666,0.0,0.8590521459927658,0.0,0.7272727272727273,1.2727272727272727,0.1834525775087139,1.0,0.9182736455463728,0.9965655132698104,790786.8,299.0,0.0368695,2.380479005446577e-05,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,1.0,0.0,20.0,0.0,24.0,18.12615,126.8970553,23.352866569533862,0.3643113877550178,0.3080316230366492,0.0629148521978782,191.0,-0.2577255244755245,0.0237866972615187,143.0,0.2864933832335329,0.0466621091539849,334.0,3.4676243870088257,0.0281432996928375,0.055838627378591,0.0124268783578849,25.935939250717983,0.5222783325734076,"Yes, there is a relationship between the CIC gene and cancer. The CIC gene encodes a transcriptional repressor that plays a vital role in regulating gene expression linked to cellular growth and differentiation. Alterations or mutations in CIC can disrupt these regulatory functions, leading to aberrant signaling pathways that promote tumorigenesis. Specifically, in certain types of cancers, such as gliomas and sarcomas, CIC mutations have been associated with pathways involved in cell proliferation and oncogenic transformation. Additionally, CIC is involved in chromatin remodeling, and its loss of function can lead to genomic instability and increased susceptibility to carcinogenic influences. Overall, the dysregulation of CIC and its downstream effects on cellular homeostasis may contribute to the development and progression of various malignancies.",1
PRKACA,1056,0.4,0.0,0.0,0.6,0.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,1.0,1.0,0.206654267410622,0.5324877222176447,1034381.0,321.0,0.03587211,0.0013627839429123,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,10.0,18.50018182,124.1680934,26.038456223763028,0.4643440031200011,0.3170243902439024,0.0606361791278468,164.0,-0.2212024210526314,0.0131836413464884,190.0,0.265594519774011,0.037347353236171,354.0,3.347863656047856,0.0147291947017534,0.044736553926774,0.0133627010841734,22.159003920939256,4.775712919135863,"Yes, there is a relationship between the PRKACA gene and cancer. PRKACA encodes the catalytic subunit of protein kinase A (PKA), which is involved in multiple signaling pathways, including those regulating cell growth, differentiation, and apoptosis. Dysregulation of PKA activity, often due to mutations or altered expression of PRKACA, can lead to aberrant cellular signaling and has been implicated in various cancers, such as adrenal tumors and certain pancreatic neoplasms. Elevated PKA activity can promote tumorigenesis through mechanisms such as enhanced cellular proliferation, inhibition of apoptosis, and modulation of metabolic pathways, thereby contributing to the oncogenic phenotype. Furthermore, PKA is involved in the phosphorylation of downstream targets that affect gene expression and cell cycle regulation, further linking PRKACA to cancer development.",1
SMARCA4,5040,0.1764705882352941,0.1323529411764706,0.0147058823529411,0.5735294117647058,0.0,1.0,0.0735294117647058,0.0294117647058823,0.8487649690203058,0.0,3.0,4.307692307692308,0.00347,1.0,0.0238021564753766,0.1127741197772184,1984564.0,190.0,0.04046629,0.0011947079100357,199.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,4.0,37.0,9.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,5.0,1.0,2.0,0.0,63.0,0.0,59.0,24.75374603,153.0797446,24.556111005119973,0.2860961257290044,0.3219020588235293,0.0609318563478071,169.0,-0.2168371078431371,0.0116133101024316,204.0,0.2645939037433152,0.0366717668077762,373.0,3.6420458038962726,0.0090467361079419,0.0402344039500055,0.0050094233934704,24.8799534761512,0.7282661538704854,"Yes, there is a relationship between the SMARCA4 gene and cancer. SMARCA4 encodes a subunit of the SWI/SNF chromatin-remodeling complex, which is crucial for regulating gene expression and maintaining genomic stability. In various cancers, including lung and ovarian tumors, mutations or deletions of the SMARCA4 gene can lead to the loss of function of the SWI/SNF complex. This disruption can result in altered chromatin accessibility and gene expression patterns that promote tumorigenesis. Additionally, the loss of SMARCA4 can contribute to changes in cell cycle regulation and increased genomic instability, further facilitating cancer development and progression through a variety of pathways, including those involved in DNA damage response and repair.",1
TCF3,1965,0.2857142857142857,0.0,0.0714285714285714,0.5714285714285714,0.0,1.0,0.0714285714285714,0.0,0.9624786378518296,0.0,1.6,2.0,0.4170141784820684,1.0,0.7072135785007072,0.9522083221176668,2396187.0,262.0,0.0309214999999999,0.0023020514452626,147.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,16.0,12.53865,115.110906,21.08305378094556,2.5386636084010887,0.249901043478261,0.0155523188725858,115.0,-0.2663907241379311,0.0261146528108925,290.0,0.2617084691358023,0.0231249742372545,405.0,3.497672605434168,0.009072145991905,0.035777097926922,0.0026180887068834,22.53935556540424,0.5348019740565182,"Yes, there is a relationship between the TCF3 gene and cancer. TCF3 (Transcription Factor 3) plays a critical role in gene regulatory networks, particularly in hematopoiesis and B-cell development. Dysregulation of TCF3, often through mutations or aberrations such as translocations, can lead to oncogenic processes. In specific malignancies, including certain types of leukemia and lymphoma, TCF3 can contribute to the inappropriate activation of target genes that promote cell proliferation and survival. Additionally, TCF3 interacts with other key signaling pathways and transcription factors, potentially leading to an altered cellular microenvironment that favors tumorigenesis. This multifaceted role highlights TCF3 as a significant player in the pathology of various cancers.",1
CCND1,888,0.0,0.2307692307692307,0.0,0.6923076923076923,0.0,1.0,0.0,0.0769230769230769,0.8180073353228107,0.0,9.0,13.0,0.0783208020050125,1.0,0.4426737494466578,0.8034184318219858,441430.8,536.0,0.04094218,0.0003046664827035,78.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,21.0,22.03627778,152.695051,20.79079934992069,2.1841942325172723,0.5608373662551445,0.4941682507145225,243.0,-0.2180182051282052,0.0167280911395937,78.0,0.4775355140186921,0.399425766152938,321.0,3.728439785845513,0.0228967187943182,0.1156929804221034,0.0142302050740811,18.69219580585901,1.3808359130453665,"Yes, there is a relationship between the CCND1 gene and cancer, particularly in various types of tumors, including breast and colorectal cancers. CCND1 encodes cyclin D1, a protein that plays a crucial role in regulating the cell cycle by promoting the transition from the G1 phase to the S phase. Overexpression or amplification of the CCND1 gene can lead to dysregulation of this cell cycle checkpoint, contributing to uncontrolled cell proliferation. This aberration can also result in genomic instability and increased tumorigenesis, as cyclin D1 interacts with cyclin-dependent kinases (CDKs) to modulate cell cycle progression and can influence pathways related to apoptosis and cellular differentiation. Additionally, cyclin D1 has been implicated in various signaling pathways, including those involving growth factors, further enhancing its role in cancer development and progression.",1
CREB3L1,1560,0.375,0.0625,0.0,0.5,0.0,1.0,0.0,0.0625,1.0,0.0,1.1428571428571428,1.4285714285714286,0.7299270072992701,1.0,0.8445945945945946,0.9872453855251808,801520.4,158.0,0.03649365,0.0002406677182427,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,16.0,17.472875,124.3444266,20.3534656218166,3.8227390332335776,0.2338092567567566,0.0326498112803962,148.0,-0.2561531972789115,0.0211792918301183,147.0,0.2449433559322031,0.0269677491618286,294.0,3.027043510433649,0.2225783434105242,0.111514500398345,0.0145173604745375,17.862214877656612,2.218095017262074,"The CREB3L1 gene, also known as CREB-H, has been implicated in various cellular processes, including the regulation of stress responses and the modulation of the unfolded protein response (UPR). Alterations in the expression or function of CREB3L1 may influence tumorigenesis by affecting cellular proliferation, apoptosis, and metabolic adaptation to stress, which are crucial in cancer development and progression. Additionally, CREB3L1's role in the UPR can impact tumor cell survival under conditions of hypoxia or nutrient deprivation, further linking it to cancer biology. However, the specific mechanisms and the extent of CREB3L1's involvement in different cancers are still under investigation and require further elucidation.",1
KMT2A,11919,0.1891891891891892,0.027027027027027,0.0,0.7297297297297297,0.0,1.0,0.0405405405405405,0.0135135135135135,0.9616764793119092,0.0,3.6,4.0,0.9823182711198428,1.0,0.3347840642785403,0.7011280680394953,1338034.0,192.0,0.04876435,0.0002295260094954,76.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,53.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,4.0,0.0,0.0,0.0,69.0,0.0,55.0,20.19076812,83.53983059,22.201237856611566,1.232844917151116,0.2110454128440366,0.012642272667652,109.0,-0.2777071111111111,0.020704398888492,225.0,0.2559522455089822,0.0190073557465941,333.0,3.701890558162461,0.0177635897988257,0.0656139801735225,0.0057576384318581,24.4323689359078,0.7496571097803476,"Yes, there is a relationship between the KMT2A gene (also known as MLL) and cancer, particularly in hematological malignancies such as acute lymphoblastic leukemia (ALL) and acute myeloid leukemia (AML). KMT2A encodes a lysine methyltransferase that is critical for regulating gene expression during development and differentiation. Mutations, translocations, and overexpression of KMT2A can lead to the aberrant activation of oncogenic pathways, as well as the dysregulation of target genes involved in cell cycle progression and apoptosis. These genetic alterations often result in a gain-of-function effect that drives the proliferation and survival of malignant cells, contributing to leukemogenesis. Additionally, KMT2A's role in epigenetic regulation highlights its potential impact on the chromatin landscape, further influencing tumor behavior and therapeutic responses.",1
MYOD1,963,0.4,0.0,0.05,0.5,0.0,1.0,0.05,0.0,0.9537243573680482,0.0,1.1111111111111112,1.3333333333333333,0.4608294930875576,1.0,0.8230452674897121,0.9833284582654418,391397.6,626.0,0.01695203,0.0002431683146758,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,20.0,19.38152632,79.1067956,21.88701420269522,1.8204614569819408,0.2407184374999999,0.0346615283881092,160.0,-0.2455495428571428,0.0164089772492151,175.0,0.243242149253731,0.0250547779217142,335.0,0.4230304998550671,0.5871770333606767,0.1464854600581101,0.0181674819783437,13.33843659747203,0.3055525704807605,"Yes, there is a relationship between the MYOD1 gene and cancer, particularly in certain types of soft tissue sarcomas, such as pleomorphic rhabdomyosarcoma. MYOD1 encodes a muscle-specific transcription factor that plays a crucial role in myogenic differentiation and muscle development. Dysregulation or mutations in MYOD1 can lead to aberrant cell proliferation and altered differentiation pathways, contributing to tumorigenesis. Mechanistically, these alterations may disrupt normal myogenic lineage commitment, favoring an undifferentiated state conducive to oncogenesis, and potentially influencing pathways associated with proliferation, apoptosis, and cell cycle regulation. This inappropriate expression or mutation of MYOD1 can result in evasion of normal growth control, thereby facilitating the development and progression of specific cancer types.",1
