Hugo_Symbol,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,3'UTR,5'Flank,5'UTR,COULD_NOT_DETERMINE,DE_NOVO_START_IN_FRAME,DE_NOVO_START_OUT_FRAME,Frame_Shift_Del,Frame_Shift_Ins,IGR,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,START_CODON_INS,START_CODON_SNP,Silent,Splice_Site,Translation_Start_Site,DEL,DNP,INS,SNP,TNP,pnum,cadd_mean,cadd_var,proteome_mean,proteome_var,amp_mean,amp_var,amp_freq,del_mean,del_var,del_freq,abs_mean,abs_var,abs_freq,exp_mean,exp_var,methy_mean,methy_var,Phosphoproteome_mean_in_LUAD,Phosphoproteome_var_in_LUAD,class
ALK,4863.0,0.1818181818181818,0.0909090909090909,0.0,0.7272727272727273,0.0,1.0,0.0,0.0,1.0000000000000002,0.0,2.6666666666666665,3.0,0.7369196757553427,1.0,0.6131207847946045,0.9130553793003536,202198.4,882.0,0.01878041,0.0001553712766941,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,10,18.29209090909091,194.3232786909091,17.27532744710359,1.8044048500200127,0.1873945454545454,0.0103557038545454,22.0,-0.1787716666666666,0.0089323456566666,6.0,0.1855467857142857,0.0097215568670634,28.0,2.702124277325106,0.0766357565569355,0.1659147455022417,0.0146772250912634,17.47894405157192,1.9506476127688115,1
ARAF,1830.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5820721769499418,0.8970668356007356,775214.2,477.4336372847011,0.03801457,0.0002822724308158,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,22.2,0.0,23.92631248296123,0.0424633350806116,0.3000416666666666,0.0129939081766666,6.0,-0.19627375,0.0107107912516666,16.0,0.2245740909090908,0.0129818137300865,22.0,3.524293082861017,0.0029282259239464,0.1479127799149375,0.0323079461802401,24.29763526907848,0.0858808154848281,1
ARID1A,6858.0,0.1111111111111111,0.2222222222222222,0.0,0.5555555555555556,0.0,1.0,0.1111111111111111,0.0,0.8333333333333335,0.0,2.5,4.0,0.0742225191122986,1.0,0.8244023083264633,0.9835916157971254,975965.1,182.0,0.02749164,0.0001071527173352,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,7,28.466666666666665,83.1375,24.62568787041088,0.0327711926816857,0.1874885,0.0085628402344736,20.0,-0.2070827777777777,0.0099353846330065,18.0,0.1967699999999999,0.0090603456486486,38.0,3.654694708556797,0.0031167593644638,0.0645788759075441,0.0093376709499932,24.623039803449984,0.0373678489976162,1
BRAF,2301.0,0.2222222222222222,0.0,0.0,0.7777777777777778,0.0,1.0,0.0,0.0,1.0,0.0,2.333333333333333,2.333333333333333,1.0,1.0,0.127258844489692,0.3896070401038773,305190.7,616.0,0.02459647,4.782796146716341e-05,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,9,24.57333333333333,62.49890000000001,23.731850598794257,0.09490621749496,0.2273362790697675,0.0141443663905869,43.0,-0.23795375,0.0282242396267857,8.0,0.2290017647058823,0.0158478689068235,51.0,3.667768012572641,0.0025302336163553,0.0306761831622304,0.0030243941089494,26.20068992701572,0.0469932713958332,1
CDK12,4473.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.4145936981757877,0.7796253229124955,1409087.0,239.0,0.02758249,0.0001488428391784,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,24.0,0.0,25.99502344538483,0.0607316406687586,0.21694,0.0066607519857142,42.0,-0.2302944444444444,0.0102079959277777,9.0,0.2192513461538461,0.0071126043295248,51.0,3.682049796424234,0.0021890308748055,0.085149002868918,0.0202734758128836,25.717762366332824,0.1176412060723012,1
CDKN2A,504.0,0.2,0.2,0.0,0.6,0.0,1.0,0.0,0.0,0.8277293767706428,0.0,1.5,2.0,0.1014816318246397,1.0,0.0158107766253478,0.0813790713786101,225404.5,357.0,-0.01478296,0.0009592487914759,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5,22.84283333333333,130.9458201666666,21.11569161089581,0.5261784428074519,0.2137309999999999,0.0241126914322222,10.0,-0.3683101754385964,0.1944534249553259,57.0,0.3452386567164178,0.1713589313905925,67.0,2.966032700555404,0.1361836987286258,0.1144365113623354,0.0150513224993924,20.715476093356216,0.5110193164887934,1
EGFR,3633.0,0.0588235294117647,0.0,0.0,0.6078431372549019,0.4509803921568627,0.5118645323896575,0.0,0.3333333333333333,0.500663999987932,0.0,7.75,12.0,1.0,0.0,0.0,2.402585092994044e-09,423489.1,336.0,-0.01337574,0.0179367157403319,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,17.0,1.0,0.0,34.0,0.0,43,27.708294117647057,47.45043106238859,25.64159503191102,0.489578950509108,0.5615408771929826,0.5682884217438599,57.0,-0.2907333333333333,0.0192409434333333,3.0,0.5480005000000002,0.5435871724251697,60.0,3.7769984216331167,0.0202356128618428,0.054569822227178,0.0092367956195961,24.943418686625808,0.1682032777460316,1
ERBB2,3768.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1284992.0,226.0,0.03763767,0.0006619838994493,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,9.663,0.0,24.79927200969558,0.1951076098022549,0.2162771428571429,0.0068038552160278,42.0,-0.2302944444444444,0.0102079959277777,9.0,0.2187507843137255,0.0072415665993725,51.0,3.764854707253981,0.0065386627690861,0.0780960596081114,0.0109494912257042,22.912738040525102,0.1695193797868261,1
FBXW7,2124.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.3333333333333333,1.0,0.0,1.0,3.0,0.3359086328518643,1.0,0.8,0.9785148410513678,117295.2,501.0,0.05094051,0.0008262700665131,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3,29.9,74.42000000000002,22.38831957824558,0.2732951570818658,0.1914518181818181,0.0058844423963636,11.0,-0.2158048148148148,0.008323308479772,27.0,0.2087552631578947,0.0075644795283072,38.0,3.559102331866176,0.0031497000065882,0.0811383305416005,0.0186891290548079,20.715476093356216,0.5110193164887934,1
FGFR1,2562.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6653359946773121,0.9364358687763392,841062.1,381.0,0.04749547,0.0002704401658439,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,4,22.856666666666666,119.61063333333335,18.734956354492496,0.2066975396312515,0.442292,0.5535989645028571,15.0,-0.2924892499999999,0.0228336608532692,40.0,0.3333445454545454,0.1645501426067339,55.0,3.503574497031197,0.0110312362068351,0.1252228391506834,0.0233021717196457,14.099395151954369,0.8567400844489415,1
FGFR2,2469.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.6067961165048543,0.9099286598830582,204199.6,386.0,-0.008783812,6.552224830111998e-05,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,24.4,14.580000000000002,16.47575104161037,0.2156918927490796,0.2244233333333333,0.018157599875,9.0,-0.2120381081081081,0.0105195577435435,37.0,0.214461304347826,0.0116683403449275,46.0,3.415605524123825,0.0187081550140729,0.2081589446564539,0.0185014545298477,16.65507774045989,0.5473845330342115,1
