Hugo_Symbol,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,3'UTR,5'Flank,5'UTR,COULD_NOT_DETERMINE,DE_NOVO_START_IN_FRAME,DE_NOVO_START_OUT_FRAME,Frame_Shift_Del,Frame_Shift_Ins,IGR,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,START_CODON_INS,START_CODON_SNP,Silent,Splice_Site,Translation_Start_Site,DEL,DNP,INS,ONP,SNP,TNP,pnum,cadd_mean,cadd_var,proteome_mean,proteome_var,amp_mean,amp_var,amp_freq,del_mean,del_var,del_freq,abs_mean,abs_var,abs_freq,exp_mean,exp_var,methy_mean,methy_var,Phosphoproteome_mean,Phosphoproteome_var,gene_desc,class
DDR2,2568,0.28125,0.03125,0.03125,0.65625,0.09375,0.9484501704693528,0.0,0.0,0.9577819531114784,0.0,2.1,2.3,0.78125,0.0294438064953037,0.7843830050348909,0.1101210076595979,322979.7,293.0,0.009016348,2.9324905744968862e-06,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,27.0,20.69888571,125.9931712,20.1765578340902,1.4591615394931607,0.2838216624685138,0.0265804406962191,397.0,-0.187856,0.0067110392110344,30.0,0.2770793442622952,0.0257684177770337,427.0,3.599167414554844,0.0188749939991538,0.111514500398345,0.0145173604745375,19.179067043993232,2.4835506449163267,"The DDR2 gene encodes a receptor tyrosine kinase that is involved in the regulation of cell adhesion and proliferation, particularly in response to the extracellular matrix. Aberrant expression or activation of DDR2 has been implicated in several cancer types, where it can contribute to tumorigenesis through mechanisms such as promoting cell migration, invasion, and survival. Elevated levels of DDR2 can lead to enhanced signaling pathways associated with malignancy, including those that activate focal adhesion kinase (FAK) and mitogen-activated protein kinase (MAPK) cascades. Additionally, DDR2 has been linked to the modulation of the tumor microenvironment, influencing processes like fibrosis and inflammation, which can further facilitate cancer progression. Thus, DDR2 may play a multifaceted role in the development and progression of tumors.",1
DPYD,3078,0.1944444444444444,0.0277777777777777,0.0555555555555555,0.6944444444444444,0.0,1.0,0.0277777777777777,0.0,0.9570163547517176,0.0,3.125,3.625,0.5047955577990914,1.0,0.5238344683080147,0.8625351203476221,64695.69,807.0,-0.006060657,3.600179809164583e-06,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,25.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,37.0,0.0,30.0,21.09227027,96.80207898,25.155073032421573,1.1581770253730528,0.2156824778761061,0.016691541370591,113.0,-0.2411280701754388,0.0152897286191668,228.0,0.2326959530791787,0.0158504139965154,341.0,3.546169948213008,0.031976974554017,0.111514500398345,0.0145173604745375,20.871607597353584,0.9173660797118964,"Yes, there is a relationship between the DPYD gene and cancer. The DPYD gene encodes the enzyme dihydropyrimidine dehydrogenase, which is involved in the catabolism of pyrimidine bases, including uracil and thymine. Variants in the DPYD gene can lead to impaired enzymatic activity, resulting in the accumulation of pyrimidine metabolites that may influence cellular proliferation and apoptosis. Additionally, altered activity of DPYD can affect the metabolism of chemotherapeutic agents, particularly fluoropyrimidines like 5-fluorouracil, which are commonly used in cancer treatment. These genetic variations can result in increased toxicity or reduced efficacy of these drugs, thereby influencing treatment outcomes in cancer patients. Furthermore, the dysregulation of pyrimidine metabolism itself can promote neoplastic transformation and tumor progression, linking DPYD to cancer biology indirectly through metabolic pathways.",1
JAK1,3465,0.0512820512820512,0.1025641025641025,0.0256410256410256,0.4871794871794871,0.0,1.0,0.3333333333333333,0.0,0.6358686264163367,0.0,6.333333333333333,12.333333333333334,0.0402026212109029,1.0,0.0856677803478111,0.2961773736546325,269434.0,396.0,-0.005437463,0.0004724307824,78.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,10.0,0.0,3.0,0.0,26.0,0.0,32.0,26.46734615,104.9689895,24.05309976312618,0.785424815094083,0.2046472268907562,0.0129489136981769,119.0,-0.2395307960199005,0.0256723380753631,200.0,0.2265584687499999,0.0211705209014096,319.0,3.7884029725521327,0.0038424042326849,0.0797648139226625,0.0103059426368923,16.974734946036182,2.459157331655255,"Yes, there is a relationship between the JAK1 gene and cancer. JAK1 (Janus kinase 1) is a key component of the interferon and cytokine signaling pathways, playing a crucial role in the regulation of immune responses and hematopoiesis. Aberrations in JAK1, such as mutations or overexpression, can lead to dysregulated signaling, contributing to tumor growth and survival. For instance, constitutive activation of JAK1 can enhance the expression of oncogenic factors and promote an inflammatory microenvironment that supports tumorigenesis. Additionally, altered JAK1 activity may affect the efficacy of immune checkpoint pathways, thereby enabling cancer cells to evade immune detection and destruction. As a result, JAK1 has been implicated in various cancer types, influencing both tumor biology and the body's immune response to malignancies.",1
MTOR,7650,0.1481481481481481,0.0925925925925925,0.0,0.7222222222222222,0.0,1.0,0.037037037037037,0.0,0.9238924387844828,0.0,4.333333333333333,5.111111111111111,0.3716090672612412,1.0,0.0271532529597045,0.1250749002233517,577167.0,416.0,0.03177134,0.0011287275307097,128.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0,53.0,0.0,47.0,25.31545283,88.81386656,24.72712068816,0.5448741070809238,0.2287317346938775,0.0160808278784031,97.0,-0.256935568627451,0.0183267709483958,255.0,0.2491056090651559,0.0178157756229944,351.0,3.66388953377969,0.0081778124516998,0.082277041638909,0.0087889584378565,24.53852710642284,1.5370969441043478,"Yes, there is a relationship between the MTOR gene and cancer. The mechanistic target of rapamycin (mTOR) plays a crucial role in regulating cell growth, proliferation, and survival by integrating signals from nutrients, growth factors, and energy status. Dysregulation of the mTOR pathway can lead to uncontrolled cellular growth and proliferation, which are hallmarks of cancer. Various mutations and alterations in the MTOR gene and its upstream regulators have been implicated in several cancers, contributing to tumorigenesis by enhancing protein synthesis, metabolic reprogramming, and evasion of apoptosis. Activation of the mTOR pathway has been associated with poor prognosis in various malignancies, highlighting its significance in cancer biology.",1
NOTCH2,7416,0.2592592592592592,0.074074074074074,0.0,0.5925925925925926,0.0,1.0,0.074074074074074,0.0,0.9227709587238044,0.0,2.1333333333333333,2.6666666666666665,0.2723311546840958,1.0,0.7800312012480499,0.9738076119332904,429749.8,510.0,0.01382872,6.294014446011762e-05,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,31.0,4.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,4.0,0.0,1.0,0.0,49.0,0.0,43.0,20.43112245,115.031744,23.131928627747005,0.8183167577703091,0.2738541250000002,0.0871095224357075,160.0,-0.3167915714285717,0.6287698889831236,140.0,0.2938916,0.3390872438710099,300.0,3.794982143871733,0.0191766995445441,0.0,0.0,21.11750554833838,0.6757973260814555,"Yes, there is a relationship between the NOTCH2 gene and cancer. NOTCH2 is part of the NOTCH signaling pathway, which plays a crucial role in cell differentiation, proliferation, and apoptosis. Dysregulation of this pathway, often due to mutations or aberrant expression of NOTCH2, can lead to oncogenic transformations. In particular, NOTCH2 has been implicated in several hematologic malignancies, such as leukemias and lymphomas, as well as solid tumors like breast cancer. Mechanistically, aberrant NOTCH2 signaling can promote tumorigenesis by enhancing cell survival, sustaining proliferation, and facilitating epithelial-mesenchymal transition, which contributes to metastasis. Moreover, the interplay between NOTCH2 and other pathways, such as the Wnt and PI3K-AKT pathways, may further promote cancer progression.",1
ERCC2,2283,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,1.7777777777777777,1.7777777777777777,1.0,1.0,0.3459010722933241,0.7131105026060911,1280459.0,215.0,0.02319392,3.21464873404534e-05,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,23.0,20.18228,89.18720988,23.08952315755669,0.4900332006556921,0.2491674863387979,0.0228278222365039,182.0,-0.2592363253012049,0.0197079657918692,166.0,0.253956676217765,0.0213083406670816,348.0,3.3194793597367083,0.0056152592432122,0.0534699327637314,0.008346472574892,20.060674391099585,2.322449260305919,"Yes, there is a relationship between the ERCC2 gene and cancer. ERCC2, a key component of the nucleotide excision repair (NER) pathway, is involved in the repair of helix-distorting DNA lesions, including those caused by environmental pollutants, UV radiation, and certain chemotherapeutic agents. Mutations or functional alterations in ERCC2 can impair DNA repair mechanisms, leading to increased genomic instability, accumulation of mutations, and ultimately, cancer susceptibility. Additionally, defective NER has been linked to enhanced sensitivity of cancer cells to specific DNA-damaging agents, highlighting the dual role of ERCC2 in both tumor suppression and treatment response.",1
GNA11,1080,0.1666666666666666,0.0,0.0,0.8333333333333334,0.0,1.0,0.0,0.0,1.0,0.0,2.5,2.5,1.0,1.0,0.00537,0.0334385999793775,1000335.0,173.0,0.0254863,0.0001113178591648,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,21.28571429,91.94262857,24.44239311453116,0.349661579431909,0.2416814049586778,0.0144334300721763,121.0,-0.2652310661764707,0.0257451006885269,272.0,0.2579804071246818,0.0223351480835072,393.0,3.4959780033144487,0.0061953573315602,0.111514500398345,0.0145173604745375,20.060674391099585,2.322449260305919,"Yes, there is a relationship between the GNA11 gene and cancer. The GNA11 gene encodes a G protein subunit involved in intracellular signaling pathways that regulate cell growth and proliferation. Mutations in GNA11 can lead to dysregulation of downstream signaling, notably affecting pathways such as the MAPK and PI3K-AKT pathways, which are crucial for cellular processes like survival, differentiation, and metabolism. These alterations can promote oncogenesis by enhancing proliferative signaling and inhibiting apoptosis. Moreover, GNA11 mutations have been implicated in specific cancer types, such as uveal melanoma, where they can contribute to tumorigenesis through mechanisms like increased cell invasion and metastasis. Thus, the GNA11 gene plays a significant role in cancer through its involvement in critical signaling networks.",1
MAP2K2,1203,0.2,0.0,0.1,0.7,0.0,1.0,0.0,0.0,1.0,0.0,2.333333333333333,2.6666666666666665,0.5790387955993052,1.0,0.0643004115226337,0.2407529094468931,2276561.0,180.0,0.03569998,4.848700691060416e-05,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,23.0491,109.677917,24.977443899533803,0.2538415152663986,0.2444307317073172,0.0149619146183126,123.0,-0.2641756666666668,0.0254528646796654,270.0,0.2579959541984731,0.0222069363465999,392.0,3.529585740708084,0.0039996492702512,0.0,0.0,28.55791764489611,0.8098369697039404,"Yes, there is a relationship between the MAP2K2 gene and cancer. MAP2K2 encodes a protein that is part of the mitogen-activated protein kinase (MAPK) signaling pathway, which is critical for cell proliferation, differentiation, and survival. Alterations in MAP2K2, such as mutations or dysregulated expression, can lead to aberrant activation of the MAPK pathway, contributing to oncogenic processes. Specifically, this dysregulation may enhance cell growth and survival signals, promote epithelial-to-mesenchymal transition, and lead to resistance against apoptosis, thereby facilitating tumorigenesis and metastasis. The role of MAP2K2 in various cancers further underscores its significance in the maintenance of cellular homeostasis and the potential for malignancy when this balance is disrupted.",1
SMARCA4,5040,0.1764705882352941,0.1323529411764706,0.0147058823529411,0.5735294117647058,0.0,1.0,0.0735294117647058,0.0294117647058823,0.8487649690203058,0.0,3.0,4.307692307692308,0.00347,1.0,0.0238021564753766,0.1127741197772184,1984564.0,190.0,0.04046629,0.0011947079100357,199.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,4.0,37.0,9.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,5.0,1.0,2.0,0.0,63.0,0.0,59.0,24.75374603,153.0797446,24.556111005119973,0.2860961257290044,0.3219020588235293,0.0609318563478071,169.0,-0.2168371078431371,0.0116133101024316,204.0,0.2645939037433152,0.0366717668077762,373.0,3.6420458038962726,0.0090467361079419,0.0402344039500055,0.0050094233934704,24.8799534761512,0.7282661538704854,"Yes, there is a relationship between the SMARCA4 gene and cancer. SMARCA4 encodes a subunit of the SWI/SNF chromatin-remodeling complex, which is crucial for regulating gene expression and maintaining genomic stability. In various cancers, including lung and ovarian tumors, mutations or deletions of the SMARCA4 gene can lead to the loss of function of the SWI/SNF complex. This disruption can result in altered chromatin accessibility and gene expression patterns that promote tumorigenesis. Additionally, the loss of SMARCA4 can contribute to changes in cell cycle regulation and increased genomic instability, further facilitating cancer development and progression through a variety of pathways, including those involved in DNA damage response and repair.",1
STK11,1302,0.2058823529411764,0.1764705882352941,0.0294117647058823,0.3823529411764705,0.0,1.0,0.1470588235294117,0.0588235294117647,0.7281694265719462,0.0,1.625,3.375,0.00043,1.0,0.2213368747233289,0.5551282465794185,2214581.0,234.0,0.02882151,0.0002358905073034,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,2.0,4.0,0.0,26.0,0.0,34.0,26.02903846,168.3450933,21.326629920857776,0.9809234238964404,0.2430907563025211,0.0148933793867113,119.0,-0.2621248788927335,0.0219797290195165,289.0,0.2565732598039214,0.0199462393429102,407.0,3.465620599711929,0.0045519662184785,0.0411774698989266,0.0117709240481738,23.10060804689278,0.7143615670206783,"Yes, there is a relationship between the STK11 gene and cancer. The STK11 gene encodes a serine/threonine kinase that plays a crucial role in regulating cellular metabolism, growth, and polarity. Mutations in STK11 are associated with Peutz-Jeghers syndrome, a hereditary condition characterized by an increased risk of various types of cancers, including breast, pancreatic, and colorectal cancers. The loss of STK11 function leads to dysregulation of cellular energy balance, affecting pathways such as mTOR signaling, which is critical for cell growth and proliferation. Additionally, STK11 is involved in the maintenance of genomic integrity and cell cycle control, and its inactivation can result in enhanced tumorigenesis through mechanisms like increased cell survival and altered responses to oxidative stress. Thus, the disruption of STK11 contributes to the development and progression of multiple cancer types.",1
