Hugo_Symbol,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,3'UTR,5'Flank,5'UTR,COULD_NOT_DETERMINE,DE_NOVO_START_IN_FRAME,DE_NOVO_START_OUT_FRAME,Frame_Shift_Del,Frame_Shift_Ins,IGR,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,START_CODON_SNP,Silent,Splice_Site,Translation_Start_Site,DEL,DNP,INS,SNP,TNP,pnum,cadd_mean,cadd_var,proteome_mean,proteome_var,amp_mean,amp_var,amp_freq,del_mean,del_var,del_freq,abs_mean,abs_var,abs_freq,exp_mean,exp_var,Phosphoproteome_mean_in_BRCA,Phosphoproteome_var_in_BRCA,class
AKT1,1443.0,0.0,0.0,0.0,1.0,0.8,0.3109175070825711,0.0,0.0,0.3109175070825711,0.0,5.0,5.0,1.0,0.00085,2e-05,3.211308923791329e-07,711772.2,247.0,0.03599851,0.0027718450505091,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5,27.860000000000003,2.7380000000000044,26.32616836304347,0.1532327763079347,0.2402557692307692,0.0525114395053846,26.0,-0.2176230769230769,0.0063423501661538,26.0,0.228939423076923,0.0289804675624057,52.0,3.7220877276769344,0.0068382665854786,24.43239619555228,0.4129758909637951,1
ARID1A,6858.0,0.0,0.1428571428571428,0.0,0.4285714285714285,0.0,1.0,0.4285714285714285,0.0,0.592906071876546,0.0,3.0,7.0,0.2349072116513977,1.0,0.7209805335255948,0.95684437010288,975965.1,182.0,0.02749164,0.0001071527173352,52.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,0.0,6,28.94333333333333,70.96246666666669,24.40213492964438,0.0690061307414959,0.1788553846153846,0.0149821911935897,13.0,-0.2791834285714285,0.0218373636408403,35.0,0.25201125,0.0216525800324468,48.0,3.622286489582746,0.0045262288630532,24.73847554727269,0.1818729234598663,1
BRCA1,5655.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.1447596988998263,1.0,1.0,1.0,1466229.0,201.0,0.02652095,0.0116286426009836,560.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2,14.270666666666664,275.97186633333337,19.1049497166216,0.5772125977680806,0.4689399999999999,0.15575871335,13.0,-0.2781304545454545,0.0257589204351748,66.0,0.3095294936708859,0.0504981537151249,79.0,3.3362956119591507,0.0171083164013813,20.615901612523864,0.7763187152099652,1
BRCA2,10257.0,0.3,0.1,0.0,0.5,0.0,1.0,0.1,0.0,0.939794000867204,0.0,1.25,1.75,0.3763643206624012,1.0,0.983284169124877,0.9998595054733757,221300.0,462.0,0.04401204,0.0003139680842848,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,6,13.281222222222222,132.49834369444443,19.32797833299594,0.3021793361161534,0.2448243243243243,0.0321879115752252,37.0,-0.2452870967741935,0.0182472892012903,31.0,0.2450352941176471,0.0254654791805092,68.0,3.2736147318045337,0.0189771980490193,19.60651576971435,0.4291639899875907,1
CCNE1,1233.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2287805994051704,0.5662301111601871,167528.2,609.0,-0.03267048,0.000208403584023,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,25.4,0.0,18.372118052895622,0.921223001231974,0.3441316666666666,0.0862095537323529,18.0,-0.2335449999999999,0.036183080797619,22.0,0.2833089999999999,0.0601661096810256,40.0,3.003163165410942,0.0702470778236961,19.9032234692718,0.5518155002127288,1
CDK12,4473.0,0.1428571428571428,0.0,0.0,0.7142857142857143,0.0,1.0,0.1428571428571428,0.0,1.0,0.0,2.5,3.0,1.0,1.0,0.123076923076923,0.3809163973188679,1409087.0,239.0,0.02758249,0.0001488428391784,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,5,23.473166666666668,111.25641216666664,24.000317134977323,0.2101871871809763,0.6223076470588236,0.5050185819816175,16.0,-0.2575998461538462,0.0241488723546634,65.0,0.3332099999999999,0.1409659257185185,81.0,3.5895967139077656,0.0148526904488791,25.654588227040488,0.3254291419341905,1
CDKN2A,504.0,0.0,0.25,0.0,0.75,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,0.1494768310911808,1.0,0.0691419484201064,0.2538611397422107,225404.5,357.0,-0.01478296,0.0009592487914759,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3,29.975,17.90916666666667,23.2649355410209,0.4744037933877408,0.1792876470588235,0.0123956150066176,17.0,-0.2733049999999999,0.05824008422,36.0,0.2431484905660377,0.0449769472053701,53.0,3.111020092091473,0.0811285085919426,20.615901612523864,0.7763187152099652,1
ERBB2,3768.0,0.1666666666666666,0.0,0.0,0.8333333333333334,0.0,1.0,0.0,0.0,1.0,0.0,2.5,2.5,1.0,1.0,0.1407459535538353,0.4167204449752377,1284992.0,226.0,0.03763767,0.0006619838994493,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3,21.089,121.27254999999998,25.37006235090609,1.2484943459187534,0.4061166666666667,0.2123861736060606,12.0,-0.2616922033898305,0.0259621787243717,59.0,0.2861019718309858,0.0578578710046277,71.0,3.795337176073404,0.0274939074236,24.540309518453288,1.1137581105425878,1
ESR1,1788.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.4268032437046521,0.7901972511846601,221346.6,568.0,-0.0001700249,0.0072868559959946,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2,20.19333333333333,67.50413333333334,23.692694545649942,1.216206983313691,0.3263452,0.052962446026,24.0,-0.3087653571428572,0.0221488133517195,27.0,0.3170577358490566,0.0360230474832365,51.0,3.622643320621869,0.178587463794217,18.71211350320335,1.431202894522861,1
FBXW7,2124.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.3772161448509997,1.0,0.5341880341880342,0.8691278728928421,117295.2,501.0,0.05094051,0.0008262700665131,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3,30.866666666666664,55.25333333333332,16.328444093826125,0.460840369801694,0.1863256666666667,0.0120934026185057,30.0,-0.2556694736842105,0.017072682994152,19.0,0.2132140816326531,0.0148740275329931,49.0,3.3934905954722856,0.007608513543173,20.615901612523864,0.7763187152099652,1
