Hugo_Symbol,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,3'UTR,5'Flank,5'UTR,COULD_NOT_DETERMINE,DE_NOVO_START_IN_FRAME,DE_NOVO_START_OUT_FRAME,Frame_Shift_Del,Frame_Shift_Ins,IGR,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,START_CODON_INS,START_CODON_SNP,Silent,Splice_Site,Translation_Start_Site,DEL,DNP,INS,ONP,SNP,TNP,pnum,cadd_mean,cadd_var,proteome_mean,proteome_var,amp_mean,amp_var,amp_freq,del_mean,del_var,del_freq,abs_mean,abs_var,abs_freq,exp_mean,exp_var,methy_mean,methy_var,Phosphoproteome_mean,Phosphoproteome_var,gene_desc,class
NRAS,570,0.0,0.0,0.0,1.0,0.6875,0.5679455553999495,0.0,0.0,0.5679455553999495,0.0,16.0,16.0,1.0,0.0,0.00018,3.80438625096797e-08,600650.2,472.0,0.01059793,3.590398640448545e-05,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,27.425,8.140666667,23.66259864495613,0.9383793986929032,0.2028046031746033,0.0115903098170412,126.0,-0.2399587892376684,0.0168665946088878,223.0,0.2265449570200571,0.0152422743515067,349.0,3.620577256924877,0.0039175097574676,0.111514500398345,0.0145173604745375,15.116720522964178,1.0287142535948628,"Yes, there is a relationship between the NRAS gene and cancer. NRAS is an oncogene that encodes a protein involved in the Ras signaling pathway, which is critical for regulating cell growth, differentiation, and survival. Mutations in the NRAS gene, particularly in codons 12, 13, and 61, can lead to constitutive activation of the NRAS protein, promoting uncontrolled cellular proliferation and survival. This aberrant signaling contributes to tumorigenesis in various cancers, including melanoma, colorectal cancer, and acute myeloid leukemia. The persistent activation of downstream signaling pathways, such as the MAPK and PI3K pathways, ultimately drives cancer progression and the potential for metastasis.",1
NTRK1,2391,0.131578947368421,0.0263157894736842,0.0,0.8157894736842105,0.0,1.0,0.0,0.0263157894736842,0.9699129348799834,0.0,5.166666666666667,5.5,0.8149959250203749,1.0,0.00075,0.0061465780135754,1505782.0,208.0,0.04542559,0.0551725831502489,1945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,0.0,31.0,22.06910811,93.36395604,21.88701420269522,1.8204614569819408,0.292779230769231,0.0271330645346252,388.0,-0.1789879487179486,0.006008794679892,39.0,0.2824345687645689,0.0262667708388906,427.0,2.176485708598904,0.2791980323009377,0.071585758130118,0.0132020631764484,20.060674391099585,2.322449260305919,"Yes, there is a relationship between the NTRK1 gene and cancer. NTRK1 encodes a receptor tyrosine kinase known as TrkA, which is involved in neuronal development and cellular signaling pathways that promote cell survival, differentiation, and proliferation. Abnormalities in NTRK1, such as gene fusions or mutations, can lead to constitutive activation of the TrkA signaling pathway, resulting in uncontrolled cell growth and tumorigenesis. This dysregulation has been implicated in various cancers, particularly those originating in soft tissues, such as certain sarcomas and thyroid cancers. The aberrant signaling can contribute to a tumor's aggressiveness and its potential for metastasis, highlighting the significance of NTRK1 in oncogenic processes.",1
RAD54L,2244,0.25,0.1666666666666666,0.0416666666666666,0.5,0.0,1.0,0.0,0.0416666666666666,0.8763199583393886,0.0,1.7142857142857142,2.571428571428572,0.0843383655224761,1.0,0.9174311926605504,0.9964932993037178,690471.6,205.0,0.03108991,3.048560145788057e-07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,18.0,23.80065217,133.6944268,14.06036733976448,0.0152853294564056,0.2535084251968503,0.0325316308308336,127.0,-0.2340395882352942,0.0142122382773442,170.0,0.2423646464646462,0.0220554297898239,297.0,3.0569016305442034,0.0574033491371484,0.0370097551315415,0.0098335039806267,15.876054726075775,2.309112244568261,"Yes, there is a relationship between the RAD54L gene and cancer. RAD54L is involved in the homologous recombination repair pathway, which is critical for maintaining genomic stability by repairing DNA double-strand breaks. Dysregulation or mutations in RAD54L can impair the DNA repair process, leading to the accumulation of genetic damage and chromosomal instability, both of which are hallmarks of cancer. Moreover, alterations in RAD54L expression have been observed in various cancer types, with implications for tumor progression and response to therapy. The interplay between RAD54L and other key regulatory proteins in DNA damage response pathways may also contribute to oncogenesis by affecting cell cycle control and apoptosis, further underscoring its potential role in cancer biology.",1
ATM,9171,0.1494252873563218,0.1494252873563218,0.057471264367816,0.5287356321839081,0.0344827586206896,0.9812861482437254,0.1034482758620689,0.0114942528735632,0.7553469724054203,0.0,3.2857142857142856,5.285714285714286,0.00281,0.1133016088828461,0.3323136188533877,0.1611257194828591,415837.3,582.0,0.01619721,0.0014479221073489,135.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,13.0,45.0,13.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,21.0,1.0,2.0,0.0,76.0,0.0,69.0,23.86947368,103.4715315,24.18536177624496,0.5840935171741011,0.2177245132743362,0.0197156625035556,113.0,-0.2763232579185521,0.0194966272084286,221.0,0.2564979341317366,0.0202827523251487,334.0,3.7514465275497,0.0113941197797127,0.0615656715735132,0.01685904749162,21.85498265244383,0.9508952586922343,"Yes, there is a relationship between the ATM gene and cancer. The ATM (Ataxia Telangiectasia Mutated) gene encodes a serine/threonine protein kinase that plays a crucial role in the cellular response to DNA double-strand breaks and the maintenance of genomic stability. When DNA damage occurs, ATM is activated and facilitates the phosphorylation of various substrates involved in cell cycle control, DNA repair, and apoptosis. Mutations in the ATM gene can lead to defective DNA repair mechanisms, increased genomic instability, and ultimately contribute to tumorigenesis. Additionally, ATM is involved in the ATM-Chk2 pathway, which is essential for the orchestration of cell cycle arrest in response to DNA damage, further underscoring its role in cancer development when its function is compromised.",1
CHEK1,1431,0.2307692307692307,0.0769230769230769,0.0,0.4615384615384615,0.0,1.0,0.2307692307692307,0.0,0.8336995972754957,0.0,1.5,2.5,0.6472491909385113,1.0,0.7468259895444361,0.964841722710258,477807.3,595.0,0.01786709,0.0005432775187306,74.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,12.0,0.0,15.0,18.64933333,118.1665299,20.87105826174476,0.709227818304157,0.2079314782608695,0.0205636414706025,115.0,-0.284141605504587,0.0262651457398067,218.0,0.2578227927927928,0.0255453236370563,333.0,3.3196370947882894,0.0201286273496176,0.0853875709701122,0.0093369447016995,18.96869729033656,1.136671443182527,"Yes, there is a relationship between the CHEK1 gene and cancer. CHEK1 encodes a protein that plays a crucial role in the cellular response to DNA damage, particularly in the activation of the G2/M checkpoint during the cell cycle. When DNA damage occurs, CHEK1 is mobilized to phosphorylate and activate downstream targets, facilitating repair processes or promoting cell cycle arrest to prevent the propagation of damaged DNA. In various cancers, alterations in CHEK1, such as mutations or overexpression, can disrupt these protective mechanisms, leading to genomic instability, enhanced proliferation of tumor cells, and resistance to DNA-damaging therapies. This functional impairment contributes to the tumorigenic process and can influence cancer progression and treatment outcomes.",1
MRE11,2127,0.125,0.0625,0.0,0.625,0.0,1.0,0.1875,0.0,0.875,0.0,3.333333333333333,4.666666666666667,0.687757909215956,1.0,0.8635578583765112,0.990236942271851,320373.7,589.0,-0.01000306,0.0003433999772868,94.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,14.0,0.0,15.0,20.20285714,126.6372154,21.88701420269522,1.8204614569819408,0.2247882119205297,0.0166116188974481,151.0,-0.2650403703703703,0.0188994524067769,189.0,0.2471636764705882,0.0182325653672696,340.0,3.525116688886881,0.0030240905557301,0.0549718686024779,0.0103571654395848,20.060674391099585,2.322449260305919,"Yes, there is a relationship between the MRE11 gene and cancer. MRE11 is a key component of the MRN complex (MRE11-RAD50-NBS1), which plays a crucial role in the DNA damage response and repair pathways, particularly in homologous recombination. Mutations or dysregulation of MRE11 can lead to impaired DNA repair mechanisms, resulting in genomic instability, accumulation of DNA damage, and ultimately the promotion of tumorigenesis. Additionally, alterations in MRE11 function can affect cellular responses to ionizing radiation and certain chemotherapeutics, contributing to treatment resistance in various cancers. These mechanisms underscore the significance of MRE11 in maintaining genomic integrity and its potential role in cancer development.",1
ALK,4863,0.2452830188679245,0.0188679245283018,0.0,0.6792452830188679,0.0,1.0,0.0566037735849056,0.0,0.9670597301796142,0.0,2.571428571428572,2.857142857142857,0.968054211035818,1.0,0.3243593902043464,0.6895566490120055,202198.4,882.0,0.01878041,0.0001553712766941,62.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,34.0,1.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,2.0,0.0,2.0,0.0,54.0,0.0,44.0,16.74122222,122.7092383,17.71370561827063,0.9657686045846752,0.2411762719298243,0.0201234039397847,226.0,-0.2113410294117647,0.0139342167407155,68.0,0.2343222297297293,0.0188075572695877,294.0,2.464726883282704,0.518455436293274,0.1580294479886024,0.016863350139272,17.47894405157192,1.9506476127688115,"Yes, there is a relationship between the ALK gene and cancer. The ALK (anaplastic lymphoma kinase) gene encodes a receptor tyrosine kinase that plays a critical role in cellular signaling pathways regulating growth and development. Somatic mutations, translocations, or amplifications involving the ALK gene can lead to the expression of constitutively active fusion proteins, which inappropriately activate downstream signaling cascades such as the PI3K/AKT and MAPK pathways. This dysregulation promotes uncontrolled cell proliferation, survival, and metastasis, contributing to the development of various malignancies, particularly anaplastic large cell lymphoma and non-small cell lung cancer. Additionally, ALK alterations can affect cellular differentiation and resistance to apoptosis, further enhancing tumorigenesis.",1
BARD1,2334,0.25,0.0,0.0,0.625,0.0,1.0,0.125,0.0,0.9375,0.0,2.0,2.4,1.0,1.0,0.7818608287724785,0.974259986393046,310873.7,948.0,0.01111842,0.0017042758351843,256.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,15.0,15.12864286,72.77504379,20.48584589859565,2.957632594933575,0.2154971631205673,0.0138429838333231,141.0,-0.2596616153846154,0.019617464004347,130.0,0.2366830627306274,0.0170392561783627,271.0,3.3817166263265435,0.00750988654508,0.0663520660825793,0.0065876395609884,20.192430880711427,2.0115006855048105,"Yes, there is a relationship between the BARD1 gene and cancer. BARD1 (BRCA1-associated RING domain 1) plays a crucial role in the DNA damage response and repair processes, particularly in homologous recombination, where it interacts with BRCA1 to maintain genomic integrity. Mutations or dysregulation of BARD1 can impair these repair mechanisms, leading to the accumulation of genomic instability and an increased risk of cancer, particularly breast and ovarian cancers. Additionally, BARD1 has been implicated in multiple cellular pathways, including apoptosis and cell cycle regulation, further linking its function to oncogenic processes. Hence, abnormalities in BARD1 expression or function may contribute to tumorigenesis through the disruption of these critical pathways.",1
FANCL,1143,0.4285714285714285,0.0,0.0,0.5714285714285714,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2238638907544213,0.5589247912178155,197919.5,617.0,0.009232438,2.290627831029591e-05,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,21.22571429,51.3194619,17.220900118497017,2.893880585926113,0.2416936637931033,0.0201306050094622,232.0,-0.2044820833333334,0.014814794191312,48.0,0.2353145357142856,0.0193603464148374,280.0,3.346118828869603,0.00528592548339,0.111514500398345,0.0145173604745375,20.060674391099585,2.322449260305919,"Yes, there is a relationship between the FANCL gene and cancer, particularly in the context of Fanconi anemia, a genetic disorder that predisposes individuals to various malignancies. FANCL encodes a protein crucial for the Fanconi anemia core complex, which is involved in the repair of interstrand cross-links in DNA. Deficiencies or mutations in FANCL can impair DNA repair mechanisms, leading to genomic instability, accumulation of mutations, and ultimately, increased susceptibility to cancer. The role of FANCL in maintaining genome integrity underscores its significance in tumorigenesis, particularly in cancers associated with hereditary syndromes like breast and ovarian cancer. Its involvement in the homologous recombination repair pathway further highlights its critical function in maintaining cellular fidelity and preventing oncogenic transformations.",1
IDH1,1245,0.2777777777777778,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6394714728255649,0.0555555555555555,0.0,0.7667187592866301,0.0,2.0,2.1666666666666665,1.0,5e-05,0.23465,0.0001449333064377,260367.1,539.0,0.0167467,0.0001295934249323,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,19.0,21.45627778,53.07808351,28.85642647807982,0.5958400919713599,0.2273868387096773,0.0183183426776036,155.0,-0.2473612389380529,0.0164455867913084,113.0,0.2358088805970149,0.0175618179942478,268.0,3.71223099209722,0.0080329996154415,0.1022632254353942,0.0141039220482399,19.7436782959562,3.3470767893115343,"Yes, there is a relationship between the IDH1 gene and cancer, particularly in certain types of gliomas and acute myeloid leukemia (AML). IDH1 encodes an enzyme involved in the metabolic process of converting isocitrate to alpha-ketoglutarate, a critical step in cellular respiration. Mutations in IDH1 can lead to the accumulation of the oncometabolite 2-hydroxyglutarate (2-HG), which alters cellular metabolism and promotes tumorigenesis. Elevated levels of 2-HG inhibit various α-ketoglutarate-dependent enzymes, including those involved in DNA and histone demethylation, resulting in epigenetic changes that drive tumor progression. Additionally, the metabolic reprogramming associated with IDH1 mutations can enhance cell survival, proliferation, and resistance to apoptosis, contributing to cancer development and progression.",1
