Hugo_Symbol,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,3'UTR,5'Flank,5'UTR,COULD_NOT_DETERMINE,DE_NOVO_START_IN_FRAME,DE_NOVO_START_OUT_FRAME,Frame_Shift_Del,Frame_Shift_Ins,IGR,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,START_CODON_INS,START_CODON_SNP,Silent,Splice_Site,Translation_Start_Site,DEL,DNP,INS,ONP,SNP,TNP,pnum,cadd_mean,cadd_var,proteome_mean,proteome_var,amp_mean,amp_var,amp_freq,del_mean,del_var,del_freq,abs_mean,abs_var,abs_freq,exp_mean,exp_var,methy_mean,methy_var,Phosphoproteome_mean,Phosphoproteome_var,label
COQ2,1266,0.5,0.0,0.0,0.333333333,0.0,1.0,0.166666667,0.0,1.0,0.0,0.5,0.75,1.0,1.0,0.590667454,0.901655111,344601.1,218.0,0.04019829,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,6.0,14.7806,183.2532788,16.37603061,2.398299201,0.197830737,0.00834929,95.0,-0.248299957,0.018072751,234.0,0.233726778,0.015755763,329.0,3.240897551,0.010408832,0.072749691,0.003165916,20.06067439,2.32244926,0
ADAMTS8,2670,0.344827586,0.0,0.0,0.586206897,0.0,1.0,0.068965517,0.0,0.985803667,0.0,1.545454545,1.727272727,1.0,1.0,0.190585096,0.506509717,693280.5,382.0,-0.006373506,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,2.0,0.0,0.0,0.0,29.0,0.0,28.0,17.08024138,102.6264023,17.6991418,1.56214814,0.221769504,0.023174683,121.0,-0.282769132,0.025114925,219.0,0.261060441,0.0252095,340.0,2.547802547,0.294839336,0.053425421,0.009229141,16.19617665,0.966552296,0
B3GNT7,1206,0.230769231,0.0,0.0,0.769230769,0.0,1.0,0.0,0.0,1.0,0.0,2.5,2.5,1.0,1.0,0.461254613,0.818175777,1124713.0,359.0,0.04197277,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,12.0,17.409,64.69893033,20.68371806,2.821692892,0.210926512,0.013401428,129.0,-0.268811267,0.022130575,150.0,0.242047348,0.018867705,279.0,3.182582145,0.067114958,0.324496517,0.030593808,17.27504471,1.084150734,0
SLC12A5,3420,0.301886792,0.018867925,0.0,0.641509434,0.0,1.0,0.037735849,0.0,0.977749218,0.0,2.0,2.176470588,0.988142292,1.0,0.374531835,0.742351488,630342.2,381.0,0.05057954,4.73e-09,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,1.0,1.0,1.0,0.0,50.0,0.0,42.0,20.30648,103.5749653,21.56655359,12.76124674,0.338447054,0.052091574,353.0,-0.229024677,0.020439147,62.0,0.322099614,0.048827197,415.0,2.356983888,0.22948067,0.360411768,0.025291921,21.19803658,2.042888721,0
TPD52L1,615,0.25,0.0,0.25,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.5,0.561482313,1.0,0.415454923,0.7803827,124606.5,243.0,-0.02596812,1.75e-05,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,22.966,129.22918,24.32329959,1.562237332,0.251567547,0.026027054,106.0,-0.268312509,0.021802085,267.0,0.263553887,0.0229932,373.0,3.360772132,0.050913509,0.098474318,0.015225355,22.91923449,2.076790802,0
ZNF334,2043,0.222222222,0.037037037,0.0,0.703703704,0.111111111,0.941087216,0.037037037,0.0,0.947384451,0.0,2.714285714,3.0,0.979431929,0.03118179,0.101933271,0.021458933,416360.2,642.0,0.01919809,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,20.0,14.91769231,60.81508838,21.8870142,1.820461457,0.339505169,0.052122297,354.0,-0.226373115,0.020447209,61.0,0.32287612,0.049014434,415.0,3.082321432,0.116130286,0.218732046,0.039485538,20.06067439,2.32244926,0
STRADB,1257,0.25,0.0,0.125,0.5,0.0,1.0,0.125,0.0,0.916666667,0.0,1.333333333,2.0,0.630517024,1.0,0.366568915,0.734446019,468063.8,491.0,0.02607611,1.53e-05,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,8.0,22.69114286,80.63488248,19.54610097,6.074629366,0.217669398,0.016145661,166.0,-0.247321262,0.021875186,103.0,0.229023086,0.018474583,269.0,3.36088514,0.010550116,0.068399707,0.009556491,18.36024477,1.748938516,0
SEMA4G,2532,0.25,0.083333333,0.0,0.583333333,0.0,1.0,0.0,0.083333333,1.0,0.0,1.75,2.25,0.675219446,1.0,0.985221675,0.999890259,1020226.0,247.0,0.04030881,1.12e-05,7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,12.0,17.45261538,102.9538721,16.9996126,5.862122088,0.209699082,0.012987996,98.0,-0.334038603,0.044411893,315.0,0.30453431,0.03971059,413.0,3.079157571,0.046450385,0.1115145,0.01451736,17.30235439,2.356927555,0
KLF8,1080,0.333333333,0.0,0.0,0.666666667,0.0,1.0,0.0,0.0,1.0,0.0,1.6,1.6,1.0,1.0,0.695410292,0.948020347,111209.7,444.4009898,0.000893704,2.14e-05,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,10.0,14.20092308,51.03080324,16.98144858,0.910994517,0.234321071,0.024896012,84.0,-0.262636382,0.024491554,151.0,0.252558051,0.024714766,235.0,3.258943551,0.039606979,0.279533261,0.062888433,18.15618897,1.557479779,0
FGF3,720,0.315789474,0.0,0.0,0.684210526,0.0,1.0,0.0,0.0,1.0,0.0,1.857142857,1.857142857,1.0,1.0,0.847457627,0.9877241,783791.8,561.0,0.03714901,4.89e-08,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,17.0,15.56131579,90.02895189,15.3732087,1.852563924,0.560837366,0.494168251,243.0,-0.218018205,0.016728091,78.0,0.477535514,0.399425766,321.0,0.444182938,0.737524652,0.247370689,0.02955281,20.06067439,2.32244926,1
OR52E4,939,0.0,0.083333333,0.0,0.833333333,0.0,1.0,0.083333333,0.0,0.907019018,0.0,10.0,12.0,0.277623542,1.0,0.290360046,0.649429032,262387.3,914.0,-0.01324354,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,12.0,21.81272727,53.33944182,21.8870142,1.820461457,0.191711783,0.006627035,129.0,-0.249862018,0.016208948,223.0,0.228551278,0.013455823,352.0,1.491446658,0.928045104,0.1115145,0.01451736,20.06067439,2.32244926,0
PIK3CD,3135,0.260869565,0.0,0.0,0.652173913,0.0,1.0,0.086956522,0.0,0.98077698,0.0,2.142857143,2.428571429,1.0,1.0,0.375516335,0.743317051,533533.5,204.0,0.03510626,1.49e-06,9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,26.0,0.0,26.0,14.86857692,120.2875127,22.77105607,0.980028865,0.242035545,0.019614163,99.0,-0.265022776,0.020891919,261.0,0.258644451,0.020588595,360.0,3.326271822,0.020417895,0.1115145,0.01451736,20.92389198,1.182607832,0
TENM4,8310,0.313131313,0.01010101,0.01010101,0.646464646,0.0,1.0,0.02020202,0.0,0.978668497,0.0,2.0,2.125,0.949667616,1.0,0.114810563,0.363314787,78290.38,871.0,-0.000348185,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,1.0,61.0,2.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,2.0,1.0,0.0,0.0,98.0,0.0,69.0,20.80139796,82.61088439,21.27484869,3.123605698,0.382860842,0.260544329,197.0,-0.255648163,0.018464667,145.0,0.329278424,0.162190106,337.0,3.363432739,0.086976758,0.093618661,0.010606101,19.18619157,4.064612119,0
GLRA3,1395,0.166666667,0.125,0.0,0.666666667,0.0,1.0,0.041666667,0.0,0.909123212,0.0,3.2,4.0,0.619578686,1.0,0.481695568,0.833546708,62161.38,797.0,-0.01496206,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,20.0,25.303,143.4131408,14.56249206,0.287425685,0.20321662,0.019206479,71.0,-0.287353867,0.026711318,300.0,0.271252129,0.026317742,371.0,1.713603979,0.929504113,0.147954534,0.028002307,20.06067439,2.32244926,0
TMOD4,1038,0.4,0.0,0.0,0.6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.716845878,0.955479868,1562281.0,184.0,0.03337602,4.06e-06,5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,23.82142857,69.79701429,22.05251825,5.737733812,0.317501897,0.046517836,390.0,-0.175838571,0.006080411,42.0,0.303729074,0.04432869,432.0,1.728514969,0.393733843,0.1115145,0.01451736,20.66412564,3.157301646,0
