Hugo_Symbol,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,3'UTR,5'Flank,5'UTR,COULD_NOT_DETERMINE,DE_NOVO_START_IN_FRAME,DE_NOVO_START_OUT_FRAME,Frame_Shift_Del,Frame_Shift_Ins,IGR,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,START_CODON_INS,START_CODON_SNP,Silent,Splice_Site,Translation_Start_Site,DEL,DNP,INS,SNP,TNP,pnum,cadd_mean,cadd_var,proteome_mean,proteome_var,amp_mean,amp_var,amp_freq,del_mean,del_var,del_freq,abs_mean,abs_var,abs_freq,exp_mean,exp_var,methy_mean,methy_var,Phosphoproteome_mean_in_UCEC,Phosphoproteome_var_in_UCEC,class
AKT1,1443.0,0.3333333333333333,0.0,0.0,0.5555555555555556,0.0,1.0,0.0,0.1111111111111111,0.929896694047616,0.0,1.25,1.5,1.0,1.0,0.2014098690835851,0.5241517215502793,711772.2,247.0,0.03599851,0.0027718450505091,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,7,20.0755,92.47596628571428,25.905169092265943,0.0451068023562412,0.281435,0.0346103234636363,12.0,-0.234696,0.0121698911299999,5.0,0.2676882352941176,0.0273189526904411,17.0,3.704113462883933,0.0016324235897147,0.1053379823793147,0.0045347130610829,23.812998812854595,0.1721287927955251,1
ARID1A,6858.0,0.0153846153846153,0.2769230769230769,0.0,0.2153846153846154,0.0,1.0,0.4769230769230769,0.0153846153846153,0.2971821794424848,0.0,7.0,32.0,0.0,1.0,0.8936550491510277,0.9941335382750563,975965.1,182.0,0.02749164,0.0001071527173352,52.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,9.0,0.0,1.0,0.0,6.0,14.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,25.0,0.0,12.0,35.0,0.0,47,33.073342857142855,76.29456523193276,24.26004373198275,0.2390409984699257,0.18307,0.0068253025999999,5.0,-0.179414,0.0047718906266666,10.0,0.1806326666666666,0.0050209128923809,15.0,3.6733804932063294,0.0039599171190831,0.0549518725586992,0.000166010623784,24.2672457356124,0.2059149603605882,1
BRAF,2301.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,305190.7,616.0,0.02459647,4.782796146716341e-05,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,11.59,0.0,23.382857712777263,0.047509605032893,0.278502857142857,0.0182086868114285,21.0,-0.1935875,0.0022621734916666,4.0,0.2649163999999999,0.0164661638656666,25.0,3.65096985889308,0.0015278429986429,0.0263809425275837,2.533342689554628e-05,25.562302481918863,0.133600034932135,1
CCNE1,1233.0,0.2,0.0,0.0,0.8,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0516822574810067,0.2047982189546638,167528.2,609.0,-0.03267048,0.000208403584023,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4,19.2816,70.01780280000003,20.96539330384172,0.2723557865567508,0.4260628571428571,0.226188417898901,14.0,-0.22552,0.0087384020666666,4.0,0.3814977777777777,0.1818697385712418,18.0,3.2282431496843085,0.0523108399450567,0.0267851468409576,2.7011339438554e-05,20.91345317830012,0.5183143157920497,1
CDK12,4473.0,0.0,0.1428571428571428,0.0,0.8571428571428571,0.0,1.0,0.0,0.0,1.0,0.0,6.0,7.0,0.3115264797507788,1.0,0.6333122229259025,0.9226040122061464,1409087.0,239.0,0.02758249,0.0001488428391784,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6,23.8,47.8188,23.74020295292632,0.0538559017342557,0.61039,0.3298113860222222,10.0,-0.2868877777777777,0.0075615538194444,9.0,0.4571521052631579,0.1958068277508772,19.0,3.680453701378563,0.0014182872490294,0.0565757672868886,0.0055219045513878,26.31370173201912,0.1206535225576929,1
CDKN2A,504.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2369668246445497,0.5781599829497444,225404.5,357.0,-0.01478296,0.0009592487914759,141.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5,19.828,54.56827000000001,22.62423166693759,0.2507816746231956,0.1758128571428571,0.0060380648571428,7.0,-0.2809181818181818,0.0100085628363636,11.0,0.2400438888888889,0.0107983048016339,18.0,3.131507191386328,0.0561916005924696,0.0833833446197114,0.0013950419913253,20.34292408279301,0.5862452864257927,1
ERBB2,3768.0,0.4,0.0,0.2,0.4,0.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,1.0,0.5586592178770949,1.0,0.75642965204236,0.9675837681009792,1284992.0,226.0,0.03763767,0.0006619838994493,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,4,19.864600000000003,128.87986579999998,24.306273788805303,0.3634609629106233,0.61039,0.3298113860222222,10.0,-0.28525875,0.0086144802696428,8.0,0.4658872222222223,0.2057898543388888,18.0,3.744219200893534,0.0085154591302747,0.0642318152686084,0.0006475532965847,23.231263727423627,0.2590595104306349,1
FBXW7,2124.0,0.0,0.0909090909090909,0.0,0.8181818181818182,0.4545454545454545,0.6867812704305863,0.0909090909090909,0.0,0.6788239796724708,0.0,18.0,22.0,0.8561643835616438,0.0001,0.00101,1.7279226773306209e-06,117295.2,501.0,0.05094051,0.0008262700665131,96.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,21.0,0.0,19,30.26904761904762,34.58111904761905,16.504373185137435,0.3676412607116081,0.1697499999999999,0.0025743892,3.0,-0.2649133333333333,0.0159349662809523,15.0,0.2490527777777778,0.0147575562565359,18.0,3.51415306600292,0.0013379230316959,0.0664612228006818,0.0034916023272831,17.053753996737274,1.1855017595543902,1
FGFR1,2562.0,0.0,0.0,0.0,1.0,0.6,0.5904362833084088,0.0,0.0,0.5904362833084089,0.0,5.0,5.0,1.0,0.0014199999999999,0.14557,0.0019604725919287,841062.1,381.0,0.04749547,0.0002704401658439,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,5,29.1,8.464999999999996,20.9607315437485,0.2075654994995449,0.3333045454545454,0.0521629026164502,22.0,-0.5414599999999999,0.1543438322999999,3.0,0.3582831999999998,0.0632706820726666,25.0,3.679620459781416,0.0117720400241228,0.044371355519545,0.0023385079106202,15.874480685141869,0.5464480459718553,1
FGFR2,2469.0,0.0454545454545454,0.0,0.0,0.8636363636363636,0.5,0.7428481308457304,0.0454545454545454,0.0454545454545454,0.7884474843322407,0.0,9.5,10.5,1.0,0.0,0.0001699999999999,3.6027483896003185e-08,204199.6,386.0,-0.008783812,6.552224830111998e-05,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,20.0,0.0,16,27.341,36.13698842105263,20.89622453038311,0.6827273757006709,0.303084193548387,0.0380225856851612,31.0,-0.225518,0.01298270467,5.0,0.2923111111111111,0.034814652175873,36.0,3.668070068050254,0.0276312017126343,0.0953932903256836,0.0024934046308904,19.33713146307382,0.4602901936538575,1
